name,url,team
Sandro Mamukelashvili,https://www.espn.com/nba/player/gamelog/_/id/4278580/sandro-mamukelashvili,MIL
Wesley Matthews,https://www.espn.com/nba/player/gamelog/_/id/4032/wesley-matthews,MIL
Khris Middleton,https://www.espn.com/nba/player/gamelog/_/id/6609/khris-middleton,MIL
Jordan Nwora,https://www.espn.com/nba/player/gamelog/_/id/4277883/jordan-nwora,MIL
Semi Ojeleye,https://www.espn.com/nba/player/gamelog/_/id/3056602/semi-ojeleye,MIL
Bobby Portis,https://www.espn.com/nba/player/gamelog/_/id/3064482/bobby-portis,MIL
Lindell Wigginton,https://www.espn.com/nba/player/gamelog/_/id/4277887/lindell-wigginton,MIL
Moses Brown,https://www.espn.com/nba/player/gamelog/_/id/4397126/moses-brown,DAL
Sterling Brown,https://www.espn.com/nba/player/gamelog/_/id/3057187/sterling-brown,DAL
Jalen Brunson,https://www.espn.com/nba/player/gamelog/_/id/3934672/jalen-brunson,DAL
Reggie Bullock,https://www.espn.com/nba/player/gamelog/_/id/2528779/reggie-bullock,DAL
Trey Burke,https://www.espn.com/nba/player/gamelog/_/id/2579260/trey-burke,DAL
Marquese Chriss,https://www.espn.com/nba/player/gamelog/_/id/3907487/marquese-chriss,DAL
Luka Doncic,https://www.espn.com/nba/player/gamelog/_/id/3945274/luka-doncic,DAL
Dorian Finney-Smith,https://www.espn.com/nba/player/gamelog/_/id/2578185/dorian-finney-smith,DAL
Josh Green,https://www.espn.com/nba/player/gamelog/_/id/4432811/josh-green,DAL
Tim Hardaway Jr.,https://www.espn.com/nba/player/gamelog/_/id/2528210/tim-hardaway-jr,DAL
George King,https://www.espn.com/nba/player/gamelog/_/id/3064320/george-king,DAL
Maxi Kleber,https://www.espn.com/nba/player/gamelog/_/id/2960236/maxi-kleber,DAL
Boban Marjanovic,https://www.espn.com/nba/player/gamelog/_/id/4376/boban-marjanovic,DAL
Frank Ntilikina,https://www.espn.com/nba/player/gamelog/_/id/4230547/frank-ntilikina,DAL
Theo Pinson,https://www.espn.com/nba/player/gamelog/_/id/3138154/theo-pinson,DAL
Kristaps Porzingis,https://www.espn.com/nba/player/gamelog/_/id/3102531/kristaps-porzingis,DAL
Dwight Powell,https://www.espn.com/nba/player/gamelog/_/id/2531367/dwight-powell,DAL
D.J. Augustin,https://www.espn.com/nba/player/gamelog/_/id/3415/dj-augustin,HOU
Armoni Brooks,https://www.espn.com/nba/player/gamelog/_/id/4066450/armoni-brooks,HOU
Josh Christopher,https://www.espn.com/nba/player/gamelog/_/id/4432168/josh-christopher,HOU
Usman Garuba,https://www.espn.com/nba/player/gamelog/_/id/4871143/usman-garuba,HOU
Eric Gordon,https://www.espn.com/nba/player/gamelog/_/id/3431/eric-gordon,HOU
Jalen Green,https://www.espn.com/nba/player/gamelog/_/id/4437244/jalen-green,HOU
DeJon Jarreau,https://www.espn.com/nba/player/gamelog/_/id/4066796/dejon-jarreau,HOU
Kenyon Martin Jr.,https://www.espn.com/nba/player/gamelog/_/id/4431828/kenyon-martin-jr,HOU
Garrison Mathews,https://www.espn.com/nba/player/gamelog/_/id/3913180/garrison-mathews,HOU
Daishen Nix,https://www.espn.com/nba/player/gamelog/_/id/4432176/daishen-nix,HOU
